ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,Pay1,Pay2,Pay3,Bill_amt1,Bill_amt2,Bill_amt3,Pay_amt1,Pay_amt2,Pay_amt3,default.payment.next.month
490,260000.0,Female,1,Married,34,-1,-1,-1,3885.0,4414.0,2514.0,4414.0,2646.0,7725.0,0
496,50000.0,Male,1,Married,41,-1,-1,-1,390.0,220.0,320.0,220.0,640.0,1000.0,0
499,250000.0,Female,1,Married,49,-1,-1,-1,120.0,-6.0,1639.0,6.0,1645.0,0.0,0
502,90000.0,Female,2,Married,35,2,2,2,27320.0,31199.0,30548.0,4500.0,0.0,2000.0,0
506,160000.0,Male,1,Single,35,-1,-1,-1,0.0,792.0,1220.0,793.0,1220.0,0.0,0
511,130000.0,Male,2,Married,31,-1,-1,2,1411.0,930.0,390.0,930.0,0.0,780.0,0
512,120000.0,Female,2,Single,35,-1,-1,-1,240.0,240.0,240.0,240.0,240.0,240.0,1
513,360000.0,Male,1,Single,28,-1,-1,-1,1743.0,2828.0,50537.0,2853.0,51041.0,3219.0,0
514,50000.0,Male,2,Single,23,2,2,2,31924.0,32566.0,33081.0,1300.0,1200.0,1500.0,1
526,220000.0,Female,2,Single,27,-1,-1,-1,1831.0,0.0,2891.0,0.0,2891.0,153504.0,0
530,20000.0,Female,2,Single,21,2,-1,-1,362.0,5308.0,0.0,22073.0,0.0,0.0,0
534,100000.0,Female,3,Married,50,3,3,2,62470.0,61198.0,62524.0,0.0,2500.0,2500.0,1
540,110000.0,Female,2,Married,40,2,2,2,97004.0,99005.0,101213.0,3700.0,4000.0,3800.0,0
552,190000.0,Female,1,Single,41,-1,-1,-1,0.0,26854.0,554.0,26854.0,500.0,0.0,1
558,110000.0,Female,2,Single,32,2,2,2,79829.0,81603.0,83206.0,3200.0,3100.0,3000.0,0
561,270000.0,Male,1,Single,34,-1,-1,-1,6621.0,2457.0,14923.0,2457.0,14923.0,1712.0,0
563,60000.0,Female,2,Married,42,-1,-1,-1,416.0,416.0,3640.0,416.0,3640.0,730.0,0
565,390000.0,Female,1,Single,45,-1,2,2,4240.0,3346.0,2698.0,7.0,1230.0,3.0,0
568,360000.0,Male,1,Single,28,-1,-1,-1,10540.0,10132.0,6220.0,10155.0,6240.0,16071.0,0
571,200000.0,Female,1,Single,29,-1,-1,-1,5065.0,19468.0,0.0,19561.0,0.0,125.0,0
575,80000.0,Female,3,Married,49,-1,-1,-1,1459.0,6764.0,7601.0,6764.0,7601.0,7990.0,0
578,80000.0,Male,1,Single,31,-1,2,-1,4082.0,538.0,4085.0,0.0,4085.0,0.0,0
583,160000.0,Male,1,Single,26,-1,-1,-1,1036.0,21572.0,9528.0,21636.0,9556.0,6066.0,0
588,210000.0,Male,3,Single,25,-1,-1,-1,9631.0,1561.0,1990.0,1561.0,1990.0,7967.0,1
602,30000.0,Male,3,Married,59,-1,-1,-1,390.0,390.0,1320.0,390.0,1320.0,0.0,1
606,50000.0,Male,1,Single,34,2,2,2,23437.0,25101.0,24549.0,2200.0,0.0,1030.0,0
610,200000.0,Female,2,Married,34,-1,-1,-1,561.0,390.0,390.0,390.0,390.0,390.0,0
611,220000.0,Male,1,Single,43,-1,-1,-1,18900.0,13580.0,33150.0,13580.0,33150.0,0.0,0
615,190000.0,Female,2,Married,37,2,2,2,116284.0,123528.0,125478.0,9000.0,4000.0,5000.0,0
622,180000.0,Female,2,Single,28,-1,-1,-1,460.0,460.0,610.0,460.0,610.0,460.0,0
628,230000.0,Male,1,Married,39,-1,-1,-1,660.0,660.0,660.0,660.0,660.0,660.0,0
630,200000.0,Female,3,Other,45,-1,-1,-1,3411.0,6788.0,9921.0,6788.0,9921.0,5016.0,0
649,280000.0,Female,2,Married,44,2,2,2,195517.0,199250.0,195874.0,7000.0,0.0,15000.0,1
650,20000.0,Female,2,Single,46,5,4,3,19617.0,18737.0,18148.0,0.0,0.0,0.0,0
652,240000.0,Female,2,Single,26,-1,-1,-1,7500.0,7500.0,14497.0,7500.0,14497.0,500.0,0
662,90000.0,Male,2,Married,40,-1,-1,-1,787.0,1457.0,0.0,1457.0,0.0,0.0,1
665,40000.0,Female,2,Married,32,2,2,2,29107.0,29693.0,30456.0,1200.0,1400.0,0.0,0
669,100000.0,Female,3,Married,35,2,2,2,103384.0,97266.0,101492.0,0.0,8600.0,0.0,0
671,30000.0,Female,2,Single,34,2,2,2,37075.0,37662.0,36904.0,1325.0,0.0,3095.0,0
674,30000.0,Male,2,Single,25,7,7,6,2400.0,2400.0,1800.0,0.0,0.0,0.0,1
676,90000.0,Male,3,Single,42,2,2,2,31641.0,29240.0,28306.0,2500.0,0.0,1300.0,1
677,190000.0,Male,2,Single,40,2,2,2,161870.0,165725.0,169928.0,6500.0,7000.0,7000.0,1
691,150000.0,Male,2,Single,35,-1,-1,-1,54340.0,0.0,2129.0,0.0,2129.0,0.0,0
702,200000.0,Female,1,Married,27,-1,-1,-1,0.0,7384.0,8588.0,7384.0,8588.0,1304.0,0
705,30000.0,Female,2,Other,22,3,2,2,25110.0,24569.0,26357.0,0.0,2200.0,2500.0,0
708,30000.0,Female,3,Married,46,2,2,2,12758.0,13549.0,14673.0,1000.0,1500.0,0.0,0
723,180000.0,Female,1,Single,27,-1,-1,-1,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,0
724,320000.0,Male,1,Married,47,-1,-1,-1,316.0,8420.0,316.0,8420.0,316.0,516.0,0
725,80000.0,Female,2,Single,34,2,2,2,30003.0,29385.0,31401.0,0.0,2500.0,0.0,0
730,60000.0,Male,1,Single,29,-1,2,2,1173.0,732.0,1023.0,0.0,582.0,0.0,1
734,160000.0,Female,1,Married,37,-1,-1,-1,316.0,632.0,0.0,632.0,0.0,316.0,0
749,150000.0,Female,1,Single,31,-1,-1,-1,4825.0,5202.0,780.0,5202.0,780.0,0.0,1
750,50000.0,Female,2,Single,25,5,4,3,36374.0,35229.0,34365.0,0.0,0.0,3000.0,1
755,470000.0,Female,2,Married,36,-1,-1,-1,285.0,688.0,2100.0,688.0,2100.0,1014.0,0
758,230000.0,Female,2,Married,30,-1,-1,-1,-828.0,6153.0,12663.0,7863.0,12675.0,2959.0,1
771,360000.0,Female,2,Single,53,-1,-1,-1,9744.0,11114.0,8123.0,11114.0,8123.0,8736.0,0
772,260000.0,Male,1,Single,44,-1,-1,-1,316.0,316.0,466.0,316.0,466.0,316.0,0
780,50000.0,Female,2,Single,31,-1,-1,2,0.0,36059.0,32851.0,36059.0,0.0,2420.0,0
782,50000.0,Male,2,Married,27,-1,-1,-1,1177.0,1313.0,1085.0,1316.0,1088.0,0.0,0
783,100000.0,Female,1,Single,28,2,2,2,83609.0,85325.0,87096.0,3200.0,3332.0,3280.0,1
787,370000.0,Female,1,Single,38,-1,-1,-1,1539.0,1815.0,0.0,1815.0,0.0,0.0,0
807,80000.0,Female,2,Single,23,-1,-1,-1,1145.0,7328.0,3703.0,7329.0,3704.0,426.0,0
808,20000.0,Female,3,Single,36,2,2,2,19245.0,20532.0,19953.0,1600.0,209.0,0.0,1
815,120000.0,Male,3,Married,33,2,2,2,69387.0,70727.0,72215.0,2600.0,2800.0,0.0,1
818,20000.0,Female,3,Single,24,-1,-1,2,0.0,8402.0,6204.0,8402.0,0.0,4739.0,0
819,150000.0,Female,2,Married,45,-1,-1,-1,2605.0,2605.0,3795.0,2605.0,3795.0,10675.0,0
832,20000.0,Female,3,Married,24,5,4,3,22719.0,21796.0,21162.0,0.0,0.0,0.0,0
836,30000.0,Female,3,Single,53,-1,-1,-1,4810.0,2796.0,3245.0,2796.0,3245.0,7305.0,1
837,80000.0,Female,2,Single,23,2,2,2,24562.0,25126.0,25476.0,1100.0,906.0,0.0,0
851,40000.0,Female,2,Single,23,2,2,6,24050.0,43317.0,44059.0,20000.0,2000.0,0.0,0
857,40000.0,Female,1,Single,29,2,2,2,29361.0,33893.0,34487.0,5000.0,1300.0,0.0,1
858,100000.0,Female,3,Married,43,2,2,2,52691.0,54199.0,53176.0,2500.0,0.0,4500.0,1
863,30000.0,Female,3,Single,52,7,7,7,2450.0,2450.0,2450.0,0.0,0.0,0.0,1
874,180000.0,Male,1,Married,45,-1,-1,-1,5060.0,2832.0,1890.0,2832.0,1890.0,2576.0,0
875,20000.0,Female,3,Married,40,-1,-1,-1,390.0,390.0,390.0,390.0,390.0,780.0,0
878,280000.0,Female,2,Single,27,-1,-1,-1,3058.0,3158.0,9530.0,3158.0,9530.0,0.0,0
888,180000.0,Female,2,Married,30,-1,-1,-1,13202.0,6594.0,2549.0,6594.0,2549.0,1000.0,0
891,150000.0,Female,3,Married,34,-1,-1,-1,150.0,150.0,377.0,150.0,227.0,0.0,0
897,110000.0,Male,1,Other,55,2,3,2,101140.0,99260.0,101577.0,0.0,4100.0,0.0,1
898,170000.0,Female,1,Single,28,2,2,2,138604.0,136283.0,145012.0,0.0,11000.0,5656.0,1
900,200000.0,Male,1,Married,36,-1,-1,-1,295.0,1867.0,0.0,2923.0,0.0,0.0,0
907,50000.0,Male,1,Single,30,-1,2,2,596.0,446.0,2699.0,0.0,2300.0,0.0,1
910,360000.0,Female,1,Single,27,-1,-1,-1,39105.0,54456.0,46153.0,54456.0,46153.0,40000.0,0
933,160000.0,Female,2,Single,29,-1,-1,-1,0.0,892.0,0.0,892.0,0.0,594.0,1
934,30000.0,Male,2,Single,32,2,2,2,11112.0,12923.0,12566.0,2000.0,0.0,1000.0,1
940,200000.0,Female,2,Married,32,-1,-1,-1,10190.0,10594.0,11193.0,10594.0,11193.0,10190.0,0
942,50000.0,Male,2,Married,44,-1,-1,-1,1261.0,1261.0,1261.0,1261.0,1261.0,1261.0,0
944,80000.0,Female,2,Single,24,5,4,3,1200.0,600.0,300.0,0.0,0.0,0.0,1
946,360000.0,Female,1,Single,29,-1,-1,-1,1004.0,646.0,3508.0,646.0,3508.0,0.0,0
950,160000.0,Female,3,Married,51,-1,-1,-1,2125.0,1000.0,2125.0,1000.0,2125.0,23250.0,0
968,220000.0,Female,1,Married,36,-1,-1,-1,1057.0,990.0,1324.0,990.0,1324.0,1039.0,0
978,180000.0,Male,1,Single,28,-1,-1,-1,55566.0,1056.0,390.0,1056.0,0.0,1998.0,0
982,30000.0,Male,2,Single,29,5,4,3,32391.0,31332.0,30558.0,0.0,0.0,0.0,0
989,360000.0,Female,2,Single,25,2,2,2,294308.0,297916.0,279503.0,5800.0,0.0,126685.0,0
1003,90000.0,Female,2,Married,40,-1,-1,-1,657.0,1332.0,780.0,2274.0,780.0,0.0,0
1006,140000.0,Male,1,Single,29,-1,-1,-1,2573.0,495.0,1744.0,496.0,1749.0,2265.0,0
1013,450000.0,Male,1,Single,38,-1,-1,-1,8072.0,22809.0,12415.0,22923.0,12476.0,6728.0,0
1017,160000.0,Female,1,Single,26,-1,-1,-1,12315.0,0.0,11855.0,0.0,11855.0,0.0,1
1019,240000.0,Female,3,Married,40,-1,-1,-1,1338.0,1075.0,1744.0,1075.0,1744.0,0.0,0
1027,300000.0,Male,2,Single,31,-1,-1,-1,510.0,2166.0,765.0,903.0,765.0,773.0,0
1028,450000.0,Female,1,Single,41,-1,-1,-1,85357.0,27745.0,1990.0,27856.0,2000.0,1900.0,0
1032,170000.0,Male,1,Single,33,-1,-1,-1,2499.0,1500.0,600.0,1500.0,600.0,2100.0,0
1033,140000.0,Female,1,Single,31,-1,-1,-1,326.0,476.0,326.0,476.0,326.0,326.0,1
1045,20000.0,Female,1,Single,22,2,2,2,19572.0,20437.0,19994.0,1538.0,0.0,2658.0,1
1051,110000.0,Male,2,Single,31,3,2,-1,279.0,129.0,179.0,0.0,200.0,0.0,0
1053,30000.0,Male,1,Married,42,-1,-1,-1,323.0,29525.0,0.0,29525.0,0.0,0.0,0
1068,240000.0,Male,2,Single,43,-1,-1,-1,291.0,291.0,291.0,291.0,291.0,291.0,1
1069,200000.0,Male,1,Single,40,-1,-1,-1,22813.0,10526.0,326.0,10526.0,326.0,573.0,0
1071,230000.0,Male,1,Married,61,-1,-1,-1,4932.0,2783.0,7411.0,2791.0,7433.0,4527.0,0
1072,150000.0,Female,2,Married,44,-1,-1,-1,5775.0,14441.0,780.0,14441.0,780.0,66950.0,1
1073,350000.0,Male,1,Single,33,-1,-1,-1,3220.0,20461.0,3249.0,20467.0,3253.0,27168.0,0
1074,360000.0,Male,6,Married,66,-1,-1,-1,151858.0,48580.0,1451.0,48822.0,1451.0,171944.0,0
1079,180000.0,Female,3,Married,47,-1,-1,-1,316.0,316.0,316.0,316.0,316.0,316.0,0
1082,10000.0,Male,2,Married,32,2,2,2,9180.0,10052.0,10091.0,1022.0,350.0,0.0,0
1083,60000.0,Female,1,Single,30,2,2,2,37133.0,37893.0,37131.0,1500.0,0.0,1700.0,0
1084,50000.0,Female,1,Single,25,2,2,2,49847.0,50840.0,49502.0,1900.0,1900.0,1600.0,1
1104,150000.0,Female,3,Single,28,-1,-1,-1,683.0,3486.0,5390.0,3486.0,5390.0,1200.0,0
1108,120000.0,Female,2,Married,47,-1,-1,-1,1742.0,502.0,346.0,502.0,346.0,325.0,0
1112,50000.0,Female,3,Married,44,-1,-1,-1,1473.0,1865.0,835.0,1865.0,835.0,1833.0,0
1120,120000.0,Female,2,Married,34,-1,-1,-1,4447.0,8495.0,0.0,8495.0,0.0,528.0,0
1122,20000.0,Male,2,Single,30,3,2,2,19860.0,19690.0,1735.0,0.0,500.0,0.0,1
1130,50000.0,Female,2,Single,23,2,2,2,51713.0,52738.0,48789.0,1950.0,0.0,1885.0,1
1132,200000.0,Female,2,Single,34,-1,-1,-1,465.0,1775.0,8722.0,1775.0,8722.0,0.0,0
1133,270000.0,Male,1,Married,44,4,4,4,278509.0,283545.0,278436.0,10000.0,0.0,0.0,0
1147,70000.0,Female,1,Single,31,7,7,7,2400.0,2400.0,2400.0,0.0,0.0,0.0,1
1153,180000.0,Female,2,Single,42,2,2,2,52917.0,54123.0,55176.0,2200.0,2100.0,2200.0,1
1156,350000.0,Female,2,Married,29,-1,-1,-1,4677.0,5767.0,6532.0,5787.0,6548.0,4863.0,0
1165,20000.0,Male,2,Single,24,-1,-1,-1,390.0,780.0,0.0,780.0,0.0,0.0,0
1172,80000.0,Male,3,Married,62,-1,-1,-1,672.0,5112.0,3932.0,5112.0,3932.0,20289.0,0
1173,220000.0,Female,3,Married,38,-1,-1,-1,47619.0,28800.0,8561.0,28800.0,8561.0,16599.0,0
1174,180000.0,Female,1,Single,32,-1,-1,-1,666.0,666.0,666.0,666.0,666.0,666.0,0
1193,270000.0,Female,2,Single,34,-1,-1,-1,4154.0,5885.0,3129.0,5912.0,3143.0,0.0,1
1207,70000.0,Female,3,Married,49,2,2,2,23772.0,24930.0,25709.0,1700.0,1340.0,1100.0,1
1212,160000.0,Female,3,Single,26,-1,-1,-1,390.0,390.0,390.0,390.0,390.0,390.0,0
1213,290000.0,Female,1,Married,30,-1,-1,-1,1486.0,1488.0,1650.0,1495.0,1657.0,35267.0,1
1224,150000.0,Female,2,Married,42,-1,-1,-1,3935.0,3935.0,3935.0,3935.0,3935.0,3935.0,1
1227,240000.0,Female,3,Married,41,-1,-1,-1,1074.0,1972.0,1876.0,1977.0,1885.0,1211.0,0
1228,500000.0,Female,2,Married,50,-1,-1,-1,28622.0,19140.0,0.0,19140.0,0.0,20211.0,0
1233,50000.0,Male,1,Married,47,2,2,2,50807.0,49947.0,50424.0,0.0,5000.0,0.0,0
1238,60000.0,Male,1,Married,33,-1,-1,-1,7565.0,7565.0,7565.0,7565.0,7565.0,7565.0,0
1247,170000.0,Male,1,Married,39,2,4,3,89991.0,88018.0,86299.0,0.0,0.0,3100.0,1
1250,350000.0,Female,1,Married,52,7,7,7,2400.0,2400.0,2400.0,0.0,0.0,0.0,1
1251,270000.0,Male,2,Single,35,-1,-1,-1,10506.0,10224.0,9233.0,10300.0,9300.0,1000.0,0
1259,210000.0,Male,1,Single,33,-1,-1,-1,291.0,441.0,291.0,441.0,291.0,291.0,0
1274,20000.0,Female,1,Single,26,-1,-1,-1,390.0,390.0,0.0,390.0,0.0,780.0,0
1276,20000.0,Male,1,Single,26,-1,-1,-1,416.0,416.0,982.0,416.0,982.0,0.0,1
1289,20000.0,Female,3,Married,48,3,2,2,17055.0,10400.0,0.0,0.0,0.0,0.0,1
1293,200000.0,Female,2,Married,34,-1,-1,-1,668.0,9815.0,36870.0,9852.0,40063.0,1049.0,0
1295,300000.0,Male,2,Single,41,-1,-1,2,1400.0,6297.0,977.0,6297.0,0.0,19480.0,0
1298,200000.0,Female,2,Married,34,-1,-1,-1,4273.0,3015.0,5076.0,3023.0,5088.0,6282.0,0
1307,70000.0,Female,1,Single,23,-1,-1,-1,100.0,1610.0,690.0,1610.0,0.0,10909.0,0
1308,330000.0,Female,2,Married,28,-1,-1,-1,150.0,320.0,780.0,320.0,1000.0,0.0,0
1337,70000.0,Female,2,Single,26,3,2,2,46487.0,47298.0,46384.0,1700.0,0.0,3700.0,1
1343,50000.0,Female,1,Single,22,-1,-1,-1,1392.0,3085.0,3450.0,3086.0,3492.0,3721.0,1
1345,200000.0,Male,1,Married,38,-1,-1,-1,15550.0,5045.0,6709.0,5045.0,6709.0,3021.0,1
